AdultObesity,Adult Smokers (% of pop),ChildrenInPoverty,County,Diabetic (% of pop),FoodInsecure,Number of Records,Physically Inactive (% of pop),Region,State
0.21,0.14,0.12,Fairfield,0.08,0.11,1,0.20,Northeast,Connecticut
0.27,0.13,0.18,Hartford,0.09,0.13,1,0.23,Northeast,Connecticut
0.23,0.13,0.09,Litchfield,0.08,0.11,1,0.21,Northeast,Connecticut
0.24,0.13,0.09,Middlesex,0.08,0.11,1,0.21,Northeast,Connecticut
0.26,0.14,0.18,New Haven,0.09,0.14,1,0.23,Northeast,Connecticut
0.27,0.14,0.17,New London,0.08,0.13,1,0.22,Northeast,Connecticut
0.24,0.14,0.07,Tolland,0.07,0.11,1,0.18,Northeast,Connecticut
0.29,0.15,0.16,Windham,0.08,0.13,1,0.24,Northeast,Connecticut
0.33,0.18,0.21,Kent,0.12,0.13,1,0.28,Northeast,Delaware
0.27,0.17,0.17,New Castle,0.10,0.12,1,0.23,Northeast,Delaware
0.31,0.17,0.24,Sussex,0.13,0.11,1,0.27,Northeast,Delaware
0.22,0.16,0.29,District of Columbia,0.08,0.15,1,0.17,Northeast,District of Columbia
0.30,0.21,0.29,Adams,0.11,0.14,1,0.31,Northeast,Indiana
0.29,0.20,0.22,Allen,0.11,0.15,1,0.24,Northeast,Indiana
0.32,0.19,0.16,Bartholomew,0.10,0.13,1,0.27,Northeast,Indiana
0.33,0.21,0.18,Benton,0.11,0.13,1,0.33,Northeast,Indiana
0.36,0.20,0.24,Blackford,0.12,0.16,1,0.31,Northeast,Indiana
0.28,0.17,0.08,Boone,0.09,0.12,1,0.25,Northeast,Indiana
0.31,0.20,0.21,Brown,0.12,0.13,1,0.29,Northeast,Indiana
0.29,0.20,0.16,Carroll,0.11,0.13,1,0.33,Northeast,Indiana
0.34,0.22,0.21,Cass,0.11,0.13,1,0.30,Northeast,Indiana
0.31,0.20,0.16,Clark,0.10,0.14,1,0.34,Northeast,Indiana
0.33,0.20,0.21,Clay,0.10,0.15,1,0.27,Northeast,Indiana
0.30,0.20,0.20,Clinton,0.11,0.13,1,0.32,Northeast,Indiana
0.35,0.22,0.30,Crawford,0.11,0.16,1,0.32,Northeast,Indiana
0.33,0.21,0.22,Daviess,0.10,0.13,1,0.32,Northeast,Indiana
0.30,0.19,0.17,Dearborn,0.10,0.13,1,0.31,Northeast,Indiana
0.30,0.21,0.19,Decatur,0.11,0.14,1,0.32,Northeast,Indiana
0.31,0.20,0.15,DeKalb,0.10,0.13,1,0.28,Northeast,Indiana
0.32,0.23,0.26,Delaware,0.10,0.18,1,0.31,Northeast,Indiana
0.28,0.17,0.10,Dubois,0.10,0.11,1,0.24,Northeast,Indiana
0.33,0.20,0.20,Elkhart,0.11,0.14,1,0.29,Northeast,Indiana
0.32,0.23,0.23,Fayette,0.12,0.18,1,0.35,Northeast,Indiana
0.31,0.20,0.17,Floyd,0.10,0.14,1,0.32,Northeast,Indiana
0.31,0.19,0.20,Fountain,0.11,0.15,1,0.31,Northeast,Indiana
0.26,0.21,0.15,Franklin,0.10,0.14,1,0.27,Northeast,Indiana
0.37,0.21,0.22,Fulton,0.11,0.15,1,0.25,Northeast,Indiana
0.32,0.19,0.17,Gibson,0.10,0.13,1,0.35,Northeast,Indiana
0.35,0.23,0.31,Grant,0.12,0.17,1,0.30,Northeast,Indiana
0.32,0.20,0.22,Greene,0.11,0.15,1,0.30,Northeast,Indiana
0.25,0.13,0.06,Hamilton,0.08,0.10,1,0.19,Northeast,Indiana
0.35,0.18,0.09,Hancock,0.10,0.12,1,0.29,Northeast,Indiana
0.35,0.20,0.16,Harrison,0.10,0.13,1,0.32,Northeast,Indiana
