AdultObesity,Adult Smokers (% of pop),ChildrenInPoverty,County,Diabetic (% of pop),FoodInsecure,Number of Records,Physically Inactive (% of pop),Region,State
0.31,0.16,0.12,Shelby,0.09,0.11,1,0.24,South,Alabama
0.30,0.20,0.26,Lee,0.10,0.18,1,0.23,South,Alabama
0.30,0.19,0.21,Elmore,0.11,0.15,1,0.30,South,Alabama
0.33,0.20,0.23,Tuscaloosa,0.11,0.18,1,0.28,South,Alabama
0.31,0.20,0.20,Madison,0.11,0.15,1,0.25,South,Alabama
0.33,0.20,0.19,St. Clair,0.11,0.13,1,0.29,South,Alabama
0.34,0.19,0.19,Limestone,0.11,0.14,1,0.32,South,Alabama
0.27,0.19,0.20,Baldwin,0.11,0.14,1,0.25,South,Alabama
0.31,0.19,0.18,Autauga,0.11,0.14,1,0.29,South,Alabama
0.30,0.19,0.25,Cleburne,0.11,0.14,1,0.33,South,Alabama
0.32,0.19,0.23,Morgan,0.11,0.14,1,0.31,South,Alabama
0.31,0.19,0.37,DeKalb,0.12,0.13,1,0.32,South,Alabama
0.35,0.20,0.24,Cullman,0.12,0.14,1,0.28,South,Alabama
0.35,0.20,0.33,Marshall,0.12,0.14,1,0.32,South,Alabama
0.32,0.19,0.26,Lauderdale,0.12,0.15,1,0.30,South,Alabama
0.32,0.19,0.24,Blount,0.12,0.12,1,0.29,South,Alabama
0.37,0.21,0.28,Chilton,0.12,0.14,1,0.32,South,Alabama
0.34,0.22,0.34,Pike,0.12,0.21,1,0.29,South,Alabama
0.36,0.20,0.34,Dale,0.12,0.17,1,0.28,South,Alabama
0.30,0.19,0.25,Coffee,0.12,0.16,1,0.29,South,Alabama
0.34,0.20,0.36,Franklin,0.12,0.15,1,0.35,South,Alabama
0.36,0.20,0.23,Lawrence,0.12,0.15,1,0.35,South,Alabama
0.34,0.17,0.29,Jefferson,0.13,0.18,1,0.28,South,Alabama
0.33,0.20,0.28,Cherokee,0.13,0.15,1,0.31,South,Alabama
0.31,0.20,0.29,Jackson,0.13,0.14,1,0.32,South,Alabama
0.40,0.21,0.27,Bibb,0.13,0.16,1,0.33,South,Alabama
0.32,0.24,0.28,Calhoun,0.13,0.18,1,0.34,South,Alabama
0.29,0.22,0.32,Winston,0.13,0.17,1,0.31,South,Alabama
0.34,0.19,0.31,Houston,0.13,0.17,1,0.31,South,Alabama
0.32,0.20,0.30,Covington,0.13,0.16,1,0.36,South,Alabama
0.35,0.21,0.30,Russell,0.13,0.20,1,0.31,South,Alabama
0.35,0.20,0.26,Marion,0.13,0.16,1,0.36,South,Alabama
0.33,0.22,0.33,Walker,0.13,0.16,1,0.34,South,Alabama
0.35,0.22,0.30,Etowah,0.13,0.16,1,0.33,South,Alabama
