AdultObesity,Adult Smokers (% of pop),ChildrenInPoverty,County,Diabetic (% of pop),FoodInsecure,Number of Records,Physically Inactive (% of pop),Region,State
0.29,0.16,0.11,Fairbanks North Star,0.06,0.13,1,0.20,West,Alaska
0.27,0.16,0.14,Anchorage,0.07,0.12,1,0.18,West,Alaska
0.27,0.17,0.10,Juneau,0.07,0.11,1,0.16,West,Alaska
0.25,0.18,0.09,Denali,0.07,0.14,1,0.18,West,Alaska
0.29,0.21,0.13,Matanuska-Susitna,0.07,0.12,1,0.22,West,Alaska
0.29,0.17,0.11,Kodiak Island,0.08,0.13,1,0.20,West,Alaska
0.28,0.20,0.15,Kenai Peninsula,0.08,0.13,1,0.24,West,Alaska
0.27,0.18,0.10,Sitka,0.08,0.13,1,0.17,West,Alaska
0.30,0.19,0.11,Valdez-Cordova,0.08,0.13,1,0.23,West,Alaska
0.29,0.20,0.18,Ketchikan Gateway,0.09,0.14,1,0.22,West,Alaska
0.36,0.18,0.10,Aleutians West,0.09,0.16,1,0.24,West,Alaska
0.33,0.20,0.21,Southeast Fairbanks,0.09,0.16,1,0.21,West,Alaska
0.35,0.25,0.17,North Slope,0.09,0.14,1,0.25,West,Alaska
0.30,0.19,0.13,Petersburg Borough,0.09,0.15,1,0.21,West,Alaska
0.34,0.21,0.12,Bristol Bay,0.09,0.12,1,0.23,West,Alaska
0.27,0.18,0.15,Haines,0.10,0.15,1,0.20,West,Alaska
0.31,0.20,0.16,Aleutians East,0.10,0.18,1,0.29,West,Alaska
0.32,0.21,0.25,Yakutat,0.10,0.16,1,0.25,West,Alaska
0.31,0.21,0.25,Skagway,0.11,0.18,1,0.20,West,Alaska
0.35,0.25,0.26,Prince of Wales-Hyder,0.11,0.18,1,0.29,West,Alaska
0.33,0.35,0.29,Northwest Arctic,0.12,0.21,1,0.26,West,Alaska
0.32,0.31,0.22,Lake and Peninsula,0.12,0.17,1,0.23,West,Alaska
0.35,0.32,0.25,Dillingham,0.12,0.18,1,0.26,West,Alaska
0.32,0.34,0.32,Bethel,0.13,0.21,1,0.27,West,Alaska
0.33,0.35,0.34,Nome,0.13,0.21,1,0.27,West,Alaska
0.34,0.41,0.44,Wade Hampton,0.14,0.26,1,0.28,West,Alaska
0.27,0.32,0.33,Yukon-Koyukuk,0.15,0.21,1,0.25,West,Alaska
0.22,0.20,0.25,Coconino,0.09,0.20,1,0.16,West,Arizona
0.22,0.15,0.24,Maricopa,0.09,0.16,1,0.20,West,Arizona
0.22,0.15,0.26,Pima,0.09,0.16,1,0.18,West,Arizona
0.33,0.17,0.12,Greenlee,0.10,0.14,1,0.24,West,Arizona
0.25,0.15,0.24,Yavapai,0.10,0.18,1,0.20,West,Arizona
0.32,0.18,0.24,Graham,0.11,0.16,1,0.23,West,Arizona
0.30,0.17,0.25,Pinal,0.11,0.16,1,0.26,West,Arizona
0.25,0.16,0.28,Cochise,0.11,0.16,1,0.23,West,Arizona
0.28,0.20,0.32,Mohave,0.12,0.19,1,0.32,West,Arizona
0.30,0.15,0.30,Yuma,0.12,0.22,1,0.28,West,Arizona
0.27,0.18,0.39,Gila,0.12,0.18,1,0.26,West,Arizona
0.31,0.23,0.35,Navajo,0.14,0.24,1,0.24,West,Arizona
0.21,0.15,0.35,Santa Cruz,0.14,0.15,1,0.19,West,Arizona
0.32,0.16,0.35,La Paz,0.15,0.18,1,0.30,West,Arizona
0.33,0.26,0.40,Apache,0.17,0.28,1,0.22,West,Arizona
0.25,0.15,0.20,Lassen,0.08,0.18,1,0.17,West,California
0.20,0.09,0.09,Santa Clara,0.08,0.12,1,0.15,West,California
0.20,0.12,0.18,Yolo,0.08,0.16,1,0.14,West,California
0.23,0.11,0.10,Placer,0.08,0.13,1,0.14,West,California
0.15,0.12,0.14,San Francisco,0.08,0.17,1,0.14,West,California
0.22,0.14,0.16,Mono,0.08,0.14,1,0.14,West,California
0.22,0.12,0.16,San Luis Obispo,0.09,0.14,1,0.15,West,California
0.21,0.13,0.19,Santa Cruz,0.09,0.14,1,0.11,West,California
0.20,0.09,0.10,San Mateo,0.09,0.11,1,0.16,West,California
0.20,0.11,0.18,Orange,0.09,0.11,1,0.15,West,California
0.18,0.11,0.10,Marin,0.09,0.12,1,0.11,West,California
0.19,0.12,0.13,El Dorado,0.09,0.14,1,0.15,West,California
0.21,0.11,0.16,Ventura,0.09,0.10,1,0.17,West,California
0.20,0.11,0.14,Alameda,0.09,0.15,1,0.15,West,California
0.23,0.11,0.14,Contra Costa,0.09,0.13,1,0.17,West,California
0.19,0.12,0.23,Santa Barbara,0.09,0.12,1,0.15,West,California
0.25,0.15,0.24,Humboldt,0.09,0.19,1,0.14,West,California
0.26,0.15,0.29,Yuba,0.09,0.19,1,0.15,West,California
0.22,0.12,0.14,Sonoma,0.09,0.13,1,0.13,West,California
0.20,0.12,0.19,San Diego,0.09,0.14,1,0.15,West,California
0.24,0.11,0.12,Napa,0.09,0.11,1,0.14,West,California
0.25,0.15,0.24,Butte,0.10,0.18,1,0.18,West,California
0.27,0.15,0.24,Sacramento,0.10,0.17,1,0.17,West,California
0.20,0.12,0.18,Nevada,0.10,0.15,1,0.15,West,California
0.30,0.12,0.17,Solano,0.10,0.15,1,0.18,West,California
0.27,0.14,0.20,Shasta,0.10,0.19,1,0.20,West,California
0.24,0.12,0.20,San Benito,0.10,0.11,1,0.14,West,California
0.28,0.13,0.21,Sutter,0.10,0.18,1,0.22,West,California
0.29,0.14,0.28,San Joaquin,0.10,0.16,1,0.19,West,California
0.24,0.14,0.25,Monterey,0.10,0.13,1,0.17,West,California
0.26,0.14,0.24,Riverside,0.10,0.13,1,0.18,West,California
0.32,0.15,0.24,Stanislaus,0.10,0.16,1,0.18,West,California
0.25,0.16,0.34,Kings,0.10,0.16,1,0.18,West,California
0.21,0.13,0.21,Tuolumne,0.10,0.17,1,0.16,West,California
0.29,0.14,0.28,San Bernardino,0.10,0.13,1,0.19,West,California
0.27,0.13,0.19,Amador,0.10,0.15,1,0.17,West,California
0.29,0.17,0.33,Kern,0.10,0.15,1,0.22,West,California
0.25,0.12,0.21,Calaveras,0.11,0.15,1,0.17,West,California
0.27,0.16,0.31,Del Norte,0.11,0.19,1,0.18,West,California
0.29,0.15,0.27,Tehama,0.11,0.17,1,0.21,West,California
0.21,0.12,0.27,Los Angeles,0.11,0.15,1,0.17,West,California
0.23,0.13,0.20,Inyo,0.11,0.15,1,0.16,West,California
0.28,0.15,0.24,Glenn,0.11,0.16,1,0.17,West,California
0.29,0.16,0.36,Merced,0.11,0.17,1,0.21,West,California
0.23,0.13,0.25,Mariposa,0.11,0.17,1,0.17,West,California
0.23,0.15,0.26,Mendocino,0.11,0.16,1,0.18,West,California
0.24,0.14,0.20,Colusa,0.11,0.15,1,0.16,West,California
0.27,0.16,0.31,Madera,0.11,0.14,1,0.20,West,California
0.29,0.13,0.38,Fresno,0.11,0.17,1,0.19,West,California
0.30,0.15,0.37,Tulare,0.11,0.15,1,0.18,West,California
0.24,0.13,0.19,Sierra,0.12,0.19,1,0.17,West,California
0.24,0.13,0.22,Plumas,0.12,0.19,1,0.16,West,California
0.23,0.15,0.30,Siskiyou,0.12,0.21,1,0.20,West,California
0.27,0.15,0.32,Lake,0.12,0.20,1,0.22,West,California
0.25,0.14,0.31,Modoc,0.12,0.19,1,0.21,West,California
0.24,0.16,0.28,Alpine,0.12,0.17,1,0.18,West,California
0.27,0.15,0.32,Trinity,0.12,0.20,1,0.20,West,California
0.25,0.14,0.31,Imperial,0.13,0.17,1,0.22,West,California
0.17,0.10,0.04,Douglas,0.05,0.10,1,0.11,West,Colorado
0.13,0.11,0.14,Boulder,0.05,0.14,1,0.09,West,Colorado
0.11,0.14,0.12,Eagle,0.06,0.11,1,0.10,West,Colorado
0.13,0.15,0.13,Summit,0.06,0.14,1,0.09,West,Colorado
0.18,0.12,0.06,Broomfield,0.06,0.13,1,0.13,West,Colorado
0.14,0.13,0.11,Routt,0.06,0.14,1,0.12,West,Colorado
0.16,0.16,0.17,Gunnison,0.06,0.16,1,0.12,West,Colorado
0.19,0.13,0.12,Larimer,0.06,0.14,1,0.12,West,Colorado
0.19,0.13,0.11,Jefferson,0.06,0.13,1,0.12,West,Colorado
0.14,0.13,0.09,Pitkin,0.06,0.14,1,0.10,West,Colorado
0.16,0.15,0.15,San Miguel,0.06,0.14,1,0.13,West,Colorado
0.19,0.13,0.09,Elbert,0.06,0.11,1,0.18,West,Colorado
0.17,0.13,0.13,La Plata,0.07,0.14,1,0.13,West,Colorado
0.21,0.15,0.15,El Paso,0.07,0.16,1,0.16,West,Colorado
0.18,0.16,0.14,Garfield,0.07,0.12,1,0.12,West,Colorado
0.23,0.15,0.16,Rio Blanco,0.07,0.14,1,0.18,West,Colorado
0.17,0.15,0.15,Grand,0.07,0.13,1,0.12,West,Colorado
0.26,0.16,0.13,Weld,0.07,0.12,1,0.18,West,Colorado
0.17,0.16,0.23,Denver,0.07,0.16,1,0.13,West,Colorado
0.21,0.14,0.16,Arapahoe,0.07,0.15,1,0.16,West,Colorado
0.17,0.13,0.14,Clear Creek,0.07,0.13,1,0.16,West,Colorado
0.19,0.15,0.12,Gilpin,0.07,0.13,1,0.17,West,Colorado
0.26,0.16,0.16,Moffat,0.07,0.13,1,0.22,West,Colorado
0.25,0.13,0.20,Cheyenne,0.07,0.11,1,0.25,West,Colorado
0.23,0.16,0.20,Mesa,0.07,0.15,1,0.18,West,Colorado
0.28,0.14,0.20,Yuma,0.07,0.11,1,0.25,West,Colorado
0.19,0.15,0.26,Lake,0.07,0.13,1,0.16,West,Colorado
0.20,0.13,0.15,Park,0.08,0.12,1,0.16,West,Colorado
0.25,0.16,0.21,Logan,0.08,0.15,1,0.21,West,Colorado
0.26,0.18,0.18,Adams,0.08,0.12,1,0.20,West,Colorado
0.18,0.16,0.15,Teller,0.08,0.13,1,0.17,West,Colorado
0.19,0.14,0.19,Chaffee,0.08,0.13,1,0.15,West,Colorado
0.26,0.16,0.24,Lincoln,0.08,0.15,1,0.22,West,Colorado
0.24,0.14,0.17,Washington,0.08,0.14,1,0.18,West,Colorado
0.28,0.14,0.19,Morgan,0.08,0.12,1,0.20,West,Colorado
0.21,0.13,0.25,Hinsdale,0.08,0.12,1,0.16,West,Colorado
0.17,0.13,0.15,Ouray,0.08,0.13,1,0.14,West,Colorado
0.27,0.17,0.20,Kit Carson,0.08,0.13,1,0.27,West,Colorado
0.21,0.15,0.27,Jackson,0.08,0.12,1,0.19,West,Colorado
0.23,0.16,0.24,Fremont,0.09,0.17,1,0.20,West,Colorado
0.19,0.14,0.13,Mineral,0.09,0.13,1,0.19,West,Colorado
0.22,0.17,0.27,Montezuma,0.09,0.16,1,0.20,West,Colorado
0.21,0.15,0.20,Kiowa,0.09,0.15,1,0.21,West,Colorado
0.23,0.15,0.17,Phillips,0.09,0.13,1,0.21,West,Colorado
0.23,0.17,0.29,Alamosa,0.09,0.14,1,0.19,West,Colorado
0.23,0.14,0.22,Sedgwick,0.09,0.14,1,0.22,West,Colorado
0.16,0.14,0.27,Archuleta,0.09,0.13,1,0.15,West,Colorado
0.22,0.14,0.23,Delta,0.09,0.15,1,0.18,West,Colorado
0.20,0.17,0.32,San Juan,0.09,0.16,1,0.17,West,Colorado
0.21,0.15,0.30,Baca,0.09,0.14,1,0.22,West,Colorado
0.24,0.17,0.34,Bent,0.09,0.15,1,0.23,West,Colorado
0.23,0.21,0.38,Crowley,0.09,0.16,1,0.21,West,Colorado
0.20,0.16,0.23,Montrose,0.09,0.15,1,0.17,West,Colorado
0.21,0.17,0.20,Dolores,0.10,0.16,1,0.16,West,Colorado
0.26,0.17,0.25,Pueblo,0.10,0.14,1,0.20,West,Colorado
0.27,0.17,0.30,Prowers,0.10,0.13,1,0.22,West,Colorado
